session,env,arm,joint,n_samples,zerolag_mae_deg,zerolag_rms_deg,zerolag_p95_deg,zerolag_max_deg,lag_k_ms,lag_xcorr_r,lag_censored,lagcomp_mae_deg,lagcomp_rms_deg,lagcomp_p95_deg,lagcomp_max_deg,steady_n_samples,steady_mae_deg,steady_rms_deg,steady_p95_deg,steady_max_deg,steady_bias_deg
episode_0022,physical,left,shoulder_pitch,18110,0.7882401866267332,1.1269644993385164,2.3155020348044,10.018233027335363,66.7,0.9994,False,0.3719264075907528,0.5089489545989891,0.815012704202911,7.920014115124655,720,0.3660365269265371,0.44234125598833474,0.7907443419094319,1.0318697852368217,-0.32848149176616875
episode_0022,physical,left,shoulder_roll,18110,0.9268780502831464,1.7163876800542615,3.726917243061336,16.243485364436438,66.7,0.9937,False,0.5852274835239393,1.3916700534449817,2.9406623451524885,16.029251785363932,1763,0.2406144017319913,0.4116006921822702,0.5327558116635372,3.997837976754865,0.0012860861478662874
episode_0022,physical,left,shoulder_yaw,18110,0.5137575466706849,0.9303048855621568,1.5735122896283136,14.022650604827017,66.7,0.9988,False,0.20558491294810882,0.4289516435361387,0.4899218966217691,12.208290903281197,2206,0.13126174517649963,0.158651230381532,0.2960753855743228,0.4399047089008903,0.034687568143286225
episode_0022,physical,left,elbow,18110,0.7685088517519387,1.1397622011526183,2.347154099359291,11.267312028715079,66.7,0.9996,False,0.30025298859443644,0.3885639179598713,0.6528834120517322,5.601401232747104,355,0.1769354186886215,0.204414348236608,0.3387742672187574,0.5926650109911904,0.015097430381269709
episode_0022,physical,left,wrist_roll,18110,0.8708469056772576,2.1425569592735965,2.2280261069092244,59.90216336169969,100.0,0.9987,False,0.4479614791004565,1.2811663794051282,0.9477253033692196,45.18701627033846,956,0.3228601628080694,0.3921545272210687,0.7522419432689054,1.0560976816448973,-0.10667513691388199
episode_0022,physical,right,shoulder_pitch,18110,0.8381779661313501,1.2353190837269357,2.333438944445812,16.553076508025164,66.7,0.9994,False,0.39553797276618785,0.5337893273734189,0.8255725898114706,11.460226208127906,580,0.27173843268530024,0.32687254238568275,0.5683118018658463,0.8248195434635051,-0.18153934921233014
episode_0022,physical,right,shoulder_roll,18110,0.5449053093803169,0.9166518297510006,1.619325404631096,12.781912233955403,66.7,0.9978,False,0.29213982607707756,0.5938352349896968,0.6356287140484321,10.98622782446208,2127,0.1903211028925739,0.23134575184729178,0.42797343240019886,0.7060558777630139,0.009655629141992736
episode_0022,physical,right,shoulder_yaw,18110,0.5665822793009253,0.8893585107241632,1.5838979428072968,11.656475933476196,66.7,0.9995,False,0.2646885034792445,0.3511797427077244,0.6156619105112212,4.657075636692432,1777,0.21927145056519046,0.2772282377370712,0.5548997962126277,0.8787837708771633,0.04015323385790654
episode_0022,physical,right,elbow,18110,0.8673912933557777,1.4312318664361527,2.456566936670688,34.846007773774716,66.7,0.9995,False,0.33560145497947025,0.5838555917263215,0.7037572732837961,24.714552536368437,259,0.2209312088541685,0.26186783334490993,0.5303508785489388,0.6087134774109104,0.00804461799802604
episode_0022,physical,right,wrist_roll,18110,0.7501442597611502,1.2778886855746743,1.8859194077444315,24.864788037749907,66.7,0.9998,False,0.3946489742721371,0.5613730831687616,0.7700603126373385,14.2657278044808,1265,0.41276409508556255,0.4682495623284173,0.7642928164879956,0.9475730635638313,-0.1776585177573373
episode_0023,sim,left,shoulder_pitch,90,2.4238179035837395,4.619022982794605,12.826491555377208,14.467263497875976,0.0,0.9989,False,2.4238179035837395,4.619022982794605,12.826491555377208,14.467263497875976,59,0.34920485906731263,0.3941435210350734,0.7812216301440201,0.982286295357742,-0.34920485906731263
episode_0023,sim,left,shoulder_roll,90,0.6649196229380231,0.6889946695650296,1.0853745941526083,1.1907067876492508,1933.3,0.9947,False,0.26279569960706906,0.27148002488233425,0.3662659211854844,0.3805030427765381,75,0.5896837232125254,0.5924155926777587,0.7159753622853858,0.8417678108380887,-0.5896837232125254
